ID_CURSO_ALUNO,ID_PESSOA_SIE,MATRICULA,ID_CURSO,ATIVO
407085,788937,202311173,701,true
210751,304654,2901282,798,false
225196,304654,201010352,701,false
399271,751415,4010378,922,false
