ID_CURSO,ID_CENTRO_SIE,NOME_CURSO,NIVEL_CURSO,MODALIDADE_CURSO,CLASSIFICACAO_CURSO
1568,2712,Curso de Instalador e Reparador de Linhas de Telecomunicação,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
1600,2712,Curso de Operador de Máquinas e Implementos Agrícolas,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
1581,78,Letras - Português e Literaturas/Distância/Quaraí/RS,Graduação,Licenciatura,EAD
1594,97,PG-E Educ.Física Infantil e Anos Iniciais/EAD/Santa Maria/RS,Especialização,Especialização,EAD
1591,117,PG-E Eficiência Energética Aplicada aos Processos Produtivos/EAD/Panambi/RS,Especialização,Especialização,EAD
1699,2732,CTISM - Automação Industrial/Distância/Tapejara/RS,Pós-Médio,Técnico,EAD
1388,117,PG-E Mídias na Educação/EAD/Cachoeira do Sul/RS,Especialização,Especialização,EAD
1410,94,Espec. Gestão Educacional/EAD/Três Passos/RS,Especialização,Especialização,EAD
1245,91,Curso Superior de Tecnologia em Processos Gerenciais,Graduação,Tecnológico,Presencial
1506,94,Espec. Gestão Educacional/EAD/Sobradinho/RS,Especialização,Especialização,EAD
1525,2712,Curso de Fruticultor,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
1519,82,Física - Licenciatura/Distância/Santa Maria/RS,Graduação,Licenciatura,EAD
1528,97,Dança - Licenciatura,Graduação,Licenciatura,Presencial
1075,94,Espec. Gestão Educacional/EAD/Constantina/RS,Especialização,Especialização,EAD
1086,78,Letras - Português e Literaturas/Distância/Restinga Seca/RS,Graduação,Licenciatura,EAD
1092,94,Pedagogia-Licenciatura/Distância/Tapejara/RS,Graduação,Licenciatura,EAD
1200,94,Espec. Gestão Educacional/EAD/Agudo/RS,Especialização,Especialização,EAD
1232,82,Curso de Bacharelado em Estatística - Noturno,Graduação,Bacharelado,Presencial
1213,2712,Curso Superior de Tecnologia em Gestão de Cooperativas,Graduação,Tecnológico,Presencial
1194,2712,Curso Superior de Tecnologia de Geoprocessamento,Graduação,Tecnológico,Presencial
713,85,PG Agronomia - Produção Vegetal - Mestrado,Pós-Graduação,Mestrado,Presencial
716,85,PG Engenharia Agrícola - Mestrado,Pós-Graduação,Mestrado,Presencial
717,85,PG Engenharia Agrícola - Doutorado,Pós-Graduação,Doutorado,Presencial
1409,85,PG Medicina Veterinária - Mestrado,Pós-Graduação,Mestrado,Presencial
758,85,PG Ciência e Tecnologia dos Alimentos - M,Pós-Graduação,Mestrado,Presencial
1174,85,PG Ciência e Tecnologia dos Alimentos - D,Pós-Graduação,Doutorado,Presencial
760,85,PG Engenharia Florestal - Mestrado,Pós-Graduação,Mestrado,Presencial
1404,91,Programa PG Filosofia - Doutorado,Pós-Graduação,Doutorado,Presencial
791,91,PG Filosofia - Mestrado,Pós-Graduação,Mestrado,Presencial
801,117,PG Engenharia Elétrica - Mestrado,Pós-Graduação,Mestrado,Presencial
1424,117,PG Engenharia de Produção - Mestrado,Pós-Graduação,Mestrado,Presencial
830,94,PG Educação - Mestrado,Pós-Graduação,Mestrado,Presencial
1142,94,PG Educação - Doutorado,Pós-Graduação,Doutorado,Presencial
831,82,PG Química - Mestrado,Pós-Graduação,Mestrado,Presencial
703,82,PG Física - Mestrado,Pós-Graduação,Mestrado,Presencial
947,82,PG Bioquímica Toxicológica - Doutorado,Pós-Graduação,Doutorado,Presencial
995,78,Música - Bacharelado Viola,Graduação,Bacharelado,Presencial
710,85,Medicina Veterinária,Graduação,Bacharelado,Presencial
721,91,Administração - Gestão de Cooperativas,Graduação,Bacharelado,Presencial
732,91,Arquivologia,Graduação,Bacharelado,Presencial
678,88,Odontologia,Graduação,Bacharelado,Presencial
768,88,Fonoaudiologia,Graduação,Bacharelado,Presencial
1456,78,Letras - Português e Literaturas/Distância/Novo Hamburgo/RS,Graduação,Licenciatura,EAD
1210,78,Letras - Português e Literaturas/Distância/Sobradinho/RS,Graduação,Licenciatura,EAD
1091,94,Pedagogia-Licenciatura/Distância/Sobradinho/RS,Graduação,Licenciatura,EAD
1624,85,Tec. Agric. Familiar Sustentabilidade/Distância/Quaraí/RS,Graduação,Tecnológico,EAD
1616,88,PG-D em Enfermagem,Pós-Graduação,Doutorado,Presencial
1799,94,PG em Políticas Públicas e Gestão Educacional - Mestrado Profissional,Pós-Graduação,Mestrado,Presencial
707,82,PG Bioquímica Toxicológica - Mestrado,Pós-Graduação,Mestrado,Presencial
1679,117,PG Engenharia Civil - Doutorado,Pós-Graduação,Doutorado,Presencial
962,88,PG em Ciências Farmacêuticas - Mestrado,Pós-Graduação,Mestrado,Presencial
1423,78,PG Letras - Mestrado,Pós-Graduação,Mestrado,Presencial
1399,88,PG Distúrbios da Comunicação Humana - Doutorado,Pós-Graduação,Doutorado,Presencial
1056,88,PG-M em Enfermagem,Pós-Graduação,Mestrado,Presencial
1919,78,PG em Artes Visuais - Doutorado Acadêmico,Pós-Graduação,Doutorado,Presencial
1184,82,PG Biodiversidade Animal - Doutorado,Pós-Graduação,Doutorado,Presencial
1106,85,PG Doutorado em Extensão Rural,Pós-Graduação,Doutorado,Presencial
1550,82,PG em Meteorologia - Doutorado,Pós-Graduação,Doutorado,Presencial
1129,91,PG em Ciências Sociais - Mestrado,Pós-Graduação,Mestrado,Presencial
1131,82,PG-D Educação em Ciências: Química da Vida e Saúde,Pós-Graduação,Doutorado,Presencial
1338,82,PG em Agrobiologia - Mestrado,Pós-Graduação,Mestrado,Presencial
1403,2712,PG em Agricultura de Precisão - Mestrado Profissional,Pós-Graduação,Mestrado,Presencial
1433,82,Mestrado Profissional em Matemática - PROFMAT,Pós-Graduação,Mestrado,Presencial
1465,91,PG - Administração - Doutorado,Pós-Graduação,Doutorado,Presencial
1466,91,PG - Comunicação - Doutorado,Pós-Graduação,Doutorado,Presencial
1548,91,PG- Direito - Mestrado Acadêmico,Pós-Graduação,Mestrado,Presencial
1551,94,PG - Mestrado Profissional em Tecnologias Educacionais em Rede,Pós-Graduação,Mestrado,Presencial
1645,97,PG - Gerontologia - Mestrado Acadêmico,Pós-Graduação,Mestrado,Presencial
1797,2732,Educação Profissional e Tecnológica - Mestrado Acadêmico,Pós-Graduação,Mestrado,Presencial
1855,117,PG em Engenharia Química - Mestrado,Pós-Graduação,Mestrado,Presencial
1857,91,PG - Psicologia - Mestrado Acadêmico,Pós-Graduação,Mestrado,Presencial
1398,91,PG em Gestão de Organizações Públicas - Mestrado Profissional,Pós-Graduação,Mestrado,Presencial
1549,82,PG em Geografia - Doutorado,Pós-Graduação,Doutorado,Presencial
1911,4634,PG em Ciência e Tecnologia Ambiental - Mestrado/FW,Pós-Graduação,Mestrado,Presencial
2128,117,Pós-Graduação em Engenharia Mecânica - Mestrado Acadêmico,Pós-Graduação,Mestrado,Presencial
1658,85,PG-E Residência Profissional da Saúde-Medicina Veterinária: Anestesiologia Veterinária,Outras Residências,Especialização,Presencial
1474,85,PG-E Residência Profissional da Saúde-Medicina Veterinária: Clínica Médica de Pequenos Animais,Outras Residências,Especialização,Presencial
1181,88,Residência Médica - Cardiologia,Residencia Médica,Especialização,Presencial
948,88,Residência Médica - Patologia,Residencia Médica,Especialização,Presencial
1899,88,Residência Médica,Residencia Médica,Especialização,Presencial
1531,2712,Curso de Auxiliar Administrativo,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
1435,88,Residência Médica R3 - Ecocardiografia,Residencia Médica,Especialização,Presencial
771,88,Residência Médica - Pneumologia,Residencia Médica,Especialização,Presencial
1611,2712,Curso de Programador de Sistemas,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
1579,2712,Curso de Instalador de Refrigeração de Climatização Doméstica,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
1523,2712,Curso de Padeiro e Confeiteiro,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
1000,97,PG-E Educação Física Escolar,Especialização,Especialização,Presencial
1071,94,PG-Espec. Educação Especial: Altas Habilidades/Superdotação,Especialização,Especialização,Presencial
1692,2712,Curso de Agente de Alimentação Escolar,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
774,88,Residência Médica - Gastroenterologia,Residencia Médica,Especialização,Presencial
1447,88,Residência Médica - R4 - Medicina Fetal,Residencia Médica,Especialização,Presencial
1554,88,Residência Médica - Urologia,Residencia Médica,Especialização,Presencial
1348,94,PG-E Educação Profissional Integrada a Educação Básica na Modalidade Educação de Jovens e Adultos,Especialização,Especialização,Presencial
2087,88,Residência Médica - Gastroenterologia Pediátrica,Residencia Médica,Especialização,Presencial
2307,94,Licenciatura em Ciências da Religião,Graduação,Licenciatura,EAD
1853,88,Residência Médica - Nutrição Parenteral e Enteral Pediátrica,Residencia Médica,Especialização,Presencial
1440,88,Residência Médica - Mastologia,Residencia Médica,Especialização,Presencial
1665,88,Residência Médica - Cirurgia Torácica,Residencia Médica,Especialização,Presencial
1347,88,Residência Médica - Medicina Intensiva,Residencia Médica,Especialização,Presencial
1580,2712,Curso de Carpinteiro de Obras,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
1529,2712,Curso de Auxiliar Técnico em Agropecuária,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
1627,2712,Curso de Carpinteiro de Telhados,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
780,88,Residência Médica - Clínica Médica,Residencia Médica,Especialização,Presencial
1609,2712,Curso de Administrador de Banco de Dados,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
1604,2712,Curso de Pedreiro de Alvenaria,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
1111,2712,Ensino Médio,Ensino Médio,Ensino Médio,Presencial
1900,85,Residência em Área Profissional da Saúde - Medicina Veterinária,Residencia Médica,Especialização,Presencial
1069,85,PG-E Residência Médico-Veterinária,Residencia Médica,Especialização,Presencial
999,97,"PG-E Atividade Física, Desempenho Motor e Saúde",Especialização,Especialização,Presencial
777,88,Residência Médica - Pediatria,Residencia Médica,Especialização,Presencial
1407,88,PG-E Reabilitação Físico-Motora,Outras Residências,Especialização,Presencial
1694,2712,Curso de Instalador de Sistemas Eletrônicos de Segurança,FIC - Formação Inicial e Continuada,Formação Inicial e Continuada,Presencial
1445,88,Residência Médica - R3 - Infectologia Pediátrica,Residencia Médica,Especialização,Presencial
1732,2732,Técnico em Eletrotécnica Integrado,Ensino Médio,Técnico,Presencial
2308,94,Licenciatura em Ciências da Religião,Graduação,Licenciatura,EAD
926,2732,Técnico Subsequente em Eletrotécnica - Noturno,Pós-Médio,Técnico,Presencial
